filename,style,shape,color,texture,decorations,theme
photo_placeid-ChIJ-9fCcIo9aTQR6kgSIlbD48o_idx-1.jpg,跳色,圓形（Round）,"裸粉色, 粉色","光澤（Glossy）, 亮片（Glitter）",,簡約
photo_placeid-ChIJ-9fCcIo9aTQR6kgSIlbD48o_idx-10.jpg,法式,圓形（Round）,"粉色, 金屬銀",光澤（Glossy）,金屬飾片（Metal pieces）,優雅
photo_placeid-ChIJ-9fCcIo9aTQR6kgSIlbD48o_idx-2.jpg,跳色,橢圓形（Oval）,"紅色, 金屬銀, 裸粉色","光澤（Glossy）, 亮片（Glitter）, 珠光（Pearlescent）",,優雅
photo_placeid-ChIJ-9fCcIo9aTQR6kgSIlbD48o_idx-7.jpg,單色,圓形（Round）,橙色,光澤（Glossy）,,日常
photo_placeid-ChIJ-9fCcIo9aTQR6kgSIlbD48o_idx-6.jpg,跳色,圓形（Round）,"酒紅色, 銀色","光澤（Glossy）, 亮片（Glitter）",,簡約
photo_placeid-ChIJ-9fCcIo9aTQR6kgSIlbD48o_idx-9.jpg,"跳色, 手繪",,"紅色, 綠色, 白色",光澤（Glossy）,,繽紛
photo_placeid-ChIJ-9fCcIo9aTQR6kgSIlbD48o_idx-4.jpg,單色,,白色,光澤（Glossy）,"金屬飾片（Metal pieces）, 水鑽（Rhinestone）",簡約
photo_placeid-ChIJ02Do1xA9aTQRCET08--fcCc_idx-5.jpg,手繪,方圓形（Squoval）,裸粉色,光澤（Glossy）,金屬飾片（Metal pieces）,優雅
photo_placeid-ChIJ-05GUi1NaDQRs3MAvypNNzs_idx-1.jpg,"跳色, 手繪",方圓形（Squoval）,"白色, 裸粉色",光澤（Glossy）,畫圖章（Stamp）,可愛
photo_placeid-ChIJ02Do1xA9aTQRCET08--fcCc_idx-2.jpg,"法式, 單色",橢圓形（Oval）,"白色, 裸粉色",光澤（Glossy）,"水鑽（Rhinestone）, 畫圖章（Stamp）",優雅
photo_placeid-ChIJ02Do1xA9aTQRCET08--fcCc_idx-6.jpg,鏡面,橢圓形（Oval）,"白色, 金屬銀","亮片（Glitter）, 金屬箔（Foil）",,優雅
photo_placeid-ChIJ02Do1xA9aTQRCET08--fcCc_idx-8.jpg,跳色,,"紅色, 橙色, 裸粉色","光澤（Glossy）, 珠光（Pearlescent）",,
photo_placeid-ChIJ02Do1xA9aTQRCET08--fcCc_idx-7.jpg,"手繪, 單色",方圓形（Squoval）,"粉色, 裸粉色",光澤（Glossy）,金屬飾片（Metal pieces）,優雅
